EmployeeID,FirstName,LastName,Email,Phone,Department,Certifications,AssignedCourses,MaxHoursPerWeek,Active
T10021,Elizabeth,Moore,elizabeth.moore@school.edu,(555) 962-8836,ENGLISH,"English (7-12); Reading Specialist","ENG103-06 - English 11 (Section 6); ENG102-06 - English 10 (Section 6); ENG106-01 - AP English Literature (Section 1); ENG102-01 - English 10 (Section 1); ENG102-02 - English 10 (Section 2); ENG106-03 - AP English Literature (Section 3)",40,TRUE
T10022,William,Harris,william.harris@school.edu,(555) 558-4408,ENGLISH,"English (7-12); Reading Specialist","ENG106-03 - AP English Literature (Section 3); ENG104-01 - English 12 (Section 1); ENG105-03 - AP English Language (Section 3); ENG105-02 - AP English Language (Section 2); ENG104-05 - English 12 (Section 5)",40,TRUE
T10023,Margaret,Walker,margaret.walker@school.edu,(555) 177-3679,ENGLISH,"English (7-12); Reading Specialist","ENG101-04 - English 9 (Section 4); ENG107-01 - Creative Writing (Section 1); ENG106-02 - AP English Literature (Section 2); ENG103-02 - English 11 (Section 2); ENG103-01 - English 11 (Section 1)",40,TRUE
T10024,Thomas,Hall,thomas.hall@school.edu,(555) 296-7875,ENGLISH,"English (7-12); Reading Specialist","ENG104-06 - English 12 (Section 6); ENG101-02 - English 9 (Section 2); ENG101-03 - English 9 (Section 3); ENG103-04 - English 11 (Section 4); ENG104-02 - English 12 (Section 2)",40,TRUE
T10025,Nancy,Young,nancy.young@school.edu,(555) 816-2212,ENGLISH,"English (7-12); Reading Specialist","ENG102-04 - English 10 (Section 4); ENG102-03 - English 10 (Section 3); ENG102-05 - English 10 (Section 5); ENG108-02 - Journalism (Section 2); ENG101-05 - English 9 (Section 5)",40,TRUE
T10026,Richard,Allen,richard.allen@school.edu,(555) 144-9669,ENGLISH,"English (7-12); Reading Specialist","ENG107-02 - Creative Writing (Section 2); ENG103-05 - English 11 (Section 5); ENG104-03 - English 12 (Section 3); ENG104-04 - English 12 (Section 4); ENG101-06 - English 9 (Section 6)",40,TRUE
T10027,Karen,King,karen.king@school.edu,(555) 615-3829,ENGLISH,"English (7-12); Reading Specialist","ENG101-01 - English 9 (Section 1); ENG108-01 - Journalism (Section 1); ENG105-01 - AP English Language (Section 1); ENG103-03 - English 11 (Section 3)",40,TRUE
T10028,Emily,Thompson,emily.thompson@school.edu,(555) 746-2107,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI104-01 - Earth Science (Section 1); SCI104-03 - Earth Science (Section 3); SCI102-01 - Chemistry (Section 1); SCI106-01 - AP Chemistry (Section 1); SCI106-02 - AP Chemistry (Section 2); SCI108-01 - Environmental Science (Section 1)",40,TRUE
T10029,Daniel,Garcia,daniel.garcia@school.edu,(555) 109-7526,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI108-01 - Environmental Science (Section 1); SCI103-05 - Physics (Section 5); SCI102-02 - Chemistry (Section 2); SCI108-02 - Environmental Science (Section 2); SCI105-03 - AP Biology (Section 3)",40,TRUE
T10030,Lisa,Brown,lisa.brown@school.edu,(555) 210-8802,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI101-01 - Biology (Section 1); SCI101-03 - Biology (Section 3); SCI101-02 - Biology (Section 2); SCI104-04 - Earth Science (Section 4); SCI107-01 - AP Physics C (Section 1)",40,TRUE
T10031,Kevin,White,kevin.white@school.edu,(555) 862-9842,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI101-05 - Biology (Section 5); SCI102-04 - Chemistry (Section 4); SCI102-05 - Chemistry (Section 5); SCI105-01 - AP Biology (Section 1); SCI102-03 - Chemistry (Section 3)",40,TRUE
T10032,Amanda,Davis,amanda.davis@school.edu,(555) 844-2921,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI103-02 - Physics (Section 2); SCI101-06 - Biology (Section 6); SCI101-04 - Biology (Section 4); SCI108-03 - Environmental Science (Section 3); SCI104-02 - Earth Science (Section 2)",40,TRUE
T10033,Brian,Miller,brian.miller@school.edu,(555) 716-6987,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI103-04 - Physics (Section 4); SCI103-01 - Physics (Section 1); SCI102-06 - Chemistry (Section 6); SCI105-02 - AP Biology (Section 2); SCI103-03 - Physics (Section 3)",40,TRUE
T10034,Michelle,Robinson,michelle.robinson@school.edu,(555) 326-9233,SCIENCE,"General Science (7-12); Biology; Chemistry; Physics","SCI107-02 - AP Physics C (Section 2)",40,TRUE
T10035,John,Smith,john.smith@school.edu,(555) 359-7521,GENERAL,"Secondary Education","SS104-01 - Economics (Section 1); BUS101-01 - Business Essentials (Section 1); SS109-01 - Sociology (Section 1); SS101-04 - World History (Section 4); SS104-04 - Economics (Section 4); SS102-06 - US History (Section 6)",40,TRUE
T10036,Jane,Doe,jane.doe@school.edu,(555) 253-4357,GENERAL,"Secondary Education","SS102-06 - US History (Section 6); SS102-04 - US History (Section 4); SS106-02 - AP World History (Section 2); SS103-05 - Government (Section 5); THEA101-01 - Theater Arts (Section 1)",40,TRUE
T10037,Bob,Johnson,bob.johnson@school.edu,(555) 491-6587,GENERAL,"Secondary Education","SS107-01 - AP Government (Section 1); THEA101-02 - Theater Arts (Section 2); SS102-01 - US History (Section 1); BUS102-02 - Accounting (Section 2); BUS102-01 - Accounting (Section 1)",40,TRUE
T10038,Alice,Williams,alice.williams@school.edu,(555) 583-4718,GENERAL,"Secondary Education","SS102-02 - US History (Section 2); CUL101-01 - Culinary Arts I (Section 1); CUL101-03 - Culinary Arts I (Section 3); BUS101-02 - Business Essentials (Section 2); SS105-02 - AP US History (Section 2)",40,TRUE
T10039,Alex,Kumar,alex.kumar@school.edu,(555) 417-6298,TECHNOLOGY,"Computer Science; Technology Education","TECH101-03 - Computer Science Principles (Section 3); TECH101-02 - Computer Science Principles (Section 2); TECH103-01 - Web Design (Section 1); TECH101-01 - Computer Science Principles (Section 1); TECH103-02 - Web Design (Section 2); TECH103-03 - Web Design (Section 3)",40,TRUE
T10040,Rachel,Cohen,rachel.cohen@school.edu,(555) 620-2442,TECHNOLOGY,"Computer Science; Technology Education","TECH103-03 - Web Design (Section 3); TECH102-02 - AP Computer Science A (Section 2); TECH102-01 - AP Computer Science A (Section 1)",40,TRUE
T10041,Vincent,Russo,vincent.russo@school.edu,(555) 845-2638,ARTS,"Fine Arts; Music; Visual Arts","ART102-01 - Art II (Section 1); MUS103-01 - Orchestra (Section 1); ART104-02 - AP Studio Art (Section 2); MUS103-02 - Orchestra (Section 2); MUS104-04 - Chorus (Section 4); ART108-02 - Photography (Section 2)",40,TRUE
T10042,Diana,Morgan,diana.morgan@school.edu,(555) 333-7279,ARTS,"Fine Arts; Music; Visual Arts","ART108-02 - Photography (Section 2); MUS106-02 - Piano (Section 2); ART103-02 - Art III (Section 2); ART108-03 - Photography (Section 3); MUS101-01 - Concert Band (Section 1)",40,TRUE
T10043,Marcus,Foster,marcus.foster@school.edu,(555) 837-4961,ARTS,"Fine Arts; Music; Visual Arts","MUS104-02 - Chorus (Section 2); ART109-01 - Digital Art (Section 1); MUS106-01 - Piano (Section 1); ART101-04 - Art I (Section 4); ART108-01 - Photography (Section 1)",40,TRUE
T10044,Sophia,Bennett,sophia.bennett@school.edu,(555) 229-4930,ARTS,"Fine Arts; Music; Visual Arts","MUS102-01 - Jazz Band (Section 1); MUS104-03 - Chorus (Section 3); ART101-03 - Art I (Section 3); ART106-02 - Sculpture (Section 2); ART107-02 - Ceramics (Section 2)",40,TRUE
T10045,Julian,Brooks,julian.brooks@school.edu,(555) 987-3258,ARTS,"Fine Arts; Music; Visual Arts","MUS101-02 - Concert Band (Section 2); MUS106-03 - Piano (Section 3); MUS101-04 - Concert Band (Section 4); MUS107-01 - Guitar (Section 1); MUS104-01 - Chorus (Section 1)",40,TRUE
T10046,Isabella,Torres,isabella.torres@school.edu,(555) 101-6300,ARTS,"Fine Arts; Music; Visual Arts","ART101-02 - Art I (Section 2); ART104-01 - AP Studio Art (Section 1); ART102-03 - Art II (Section 3); MUS107-03 - Guitar (Section 3); MUS105-02 - AP Music Theory (Section 2)",40,TRUE
T10047,Oliver,Reed,oliver.reed@school.edu,(555) 261-7526,ARTS,"Fine Arts; Music; Visual Arts","ART105-03 - Drawing & Painting (Section 3); ART105-01 - Drawing & Painting (Section 1); ART101-01 - Art I (Section 1); ART109-02 - Digital Art (Section 2); ART102-02 - Art II (Section 2)",40,TRUE
T10048,Chloe,Murphy,chloe.murphy@school.edu,(555) 420-4947,ARTS,"Fine Arts; Music; Visual Arts","MUS105-01 - AP Music Theory (Section 1); ART106-01 - Sculpture (Section 1); MUS102-02 - Jazz Band (Section 2); ART105-02 - Drawing & Painting (Section 2); MUS107-02 - Guitar (Section 2)",40,TRUE
T10049,Lucas,Gray,lucas.gray@school.edu,(555) 715-1351,ARTS,"Fine Arts; Music; Visual Arts","MUS101-03 - Concert Band (Section 3); MUS103-03 - Orchestra (Section 3); ART107-01 - Ceramics (Section 1); ART103-01 - Art III (Section 1)",40,TRUE
