TeacherID,FirstName,LastName,MiddleName,DOB,Gender,Phone,Email,HireDate,Department,Position,Classroom,YearsExperience,Certifications,Schedule,Notes
5020,Courtney,Garcia,Melissa,1976-01-30,M,(404)721-4004,tiffanyconner@example.org,2007-02-18,Art,Substitute,Room 307,18,Temporary License,PE 319;Music 493;Honors Chemistry 318;English 415,Needs improvement in classroom management
5021,Cameron,Mills,Alexander,1991-09-13,F,+1-600-917-4093x0832,thompsonjason@example.org,2008-03-02,History,Coach,Room 125,14,Substitute Certified,History 346;Robotics 189;Spanish 200;Art 326;Science 240,Outstanding leadership in department
5022,Michael,Hernandez,Hayley,1966-03-30,F,504.785.3706,spencerdawn@example.net,2018-01-15,AP US History,Administrator,Room 319,7,Temporary License,Math 153;Drama 368;Science 164;AP Biology 218,Outstanding leadership in department
5023,Alejandro,Mendoza,Emily,1985-11-18,F,7363178904,thomashobbs@example.com,2012-08-15,History,Coach,Room 218,9,Substitute Certified,AP Biology 368;PE 423;History 371;English 356,Focus on student engagement
5024,Timothy,Wilson,John,1981-03-31,M,001-230-205-1540x359,josephavila@example.org,2014-11-09,Music,Department Head,Room 451,40,Substitute Certified,English 192;Music 202;Band 183;AP Calculus 410;AP Biology 118,Highly recommended for AP courses
5025,Hannah,Kim,Daniel,1997-03-15,M,906-883-2776x96043,kenneth17@example.org,2018-09-21,Art,Administrator,Room 464,9,Temporary License,Coding 233;Drama 492;History 247,Outstanding leadership in department
5026,John,Heath,Gregory,1981-06-29,M,5207998003,estesamber@example.org,2008-11-12,AP US History,Department Head,Room 191,34,State Certified,Coding 271;Math 144;Math 372;Music 310,Focus on student engagement
5027,Karen,Jarvis,Mark,1963-03-16,M,575-528-8526x0034,michael38@example.org,2024-03-27,Math,Coach,Room 338,20,State Certified,Spanish 298;AP Biology 114;AP Calculus 281;Coding 390,Focus on student engagement
5028,Ricky,Gonzalez,Meghan,1968-02-26,F,(399)446-1898x461,kennedycameron@example.com,2015-02-11,AP Biology,Teacher,Room 399,18,Substitute Certified,Spanish 129;Coding 377;Coding 260;Science 465;Honors Chemistry 186;AP Calculus 223,Mentor for new teachers
5029,Michael,Turner,Peggy,1990-10-16,M,+1-207-478-6418x6280,kennethmason@example.org,2016-02-27,Robotics,Administrator,Room 383,6,Substitute Certified,Science 132;Spanish 246;Band 129;History 357,Highly recommended for AP courses
5030,Christina,Haynes,Danielle,1987-11-02,M,6514723570,sandrashort@example.com,2014-03-02,Spanish,Administrator,Room 252,7,State Certified,PE 441;AP Biology 247;Science 294;Drama 457;AP Calculus 171;Honors Chemistry 284,Excellent performance
5031,Larry,Haley,Jennifer,1987-03-10,M,801.374.1730x5933,alexandergerald@example.org,2022-10-14,English,Administrator,Room 294,5,State Certified,Band 135;AP US History 306;PE 195;History 499;Spanish 152,Mentor for new teachers
5032,Ronnie,Williams,Joshua,1984-07-13,M,(246)549-2439x812,jacob42@example.net,2015-01-06,Music,Counselor,Room 449,14,Substitute Certified,Spanish 320;Coding 350;Math 194;Band 278;AP Calculus 255;Honors Chemistry 137,Mentor for new teachers
5033,Nancy,Wheeler,Michael,1985-10-07,M,458.573.8963,gforbes@example.org,2009-05-06,Robotics,Counselor,Room 385,27,State Certified,Science 335;Honors Chemistry 220;Math 101;PE 316;AP Biology 352,Focus on student engagement
5034,Felicia,Williams,Colton,1965-05-13,M,515-273-8973,davidharper@example.com,2007-11-01,Drama,Substitute,Room 290,13,National Board Certified,PE 100;History 155;History 185;Honors Chemistry 131,Mentor for new teachers
5035,Jason,Khan,Chad,1999-10-01,F,320-278-7131x55359,xtaylor@example.net,2007-07-05,English,Substitute,Room 308,38,Temporary License,Math 182;AP US History 267;Robotics 309;Math 259;Art 272,Mentor for new teachers
5036,Lori,Walton,Sharon,1994-05-21,F,001-346-252-9198x3750,kevinpalmer@example.org,2021-05-26,English,Counselor,Room 367,38,Temporary License,English 113;Band 102;Drama 180;Music 311,Needs improvement in classroom management
5037,Charles,Cross,Jennifer,1981-02-16,F,+1-720-656-0697x706,hudsonchristopher@example.com,2009-04-03,Honors Chemistry,Department Head,Room 398,31,Temporary License,AP US History 467;AP Calculus 215;History 381;Math 393;AP US History 347;English 419,Excellent performance
5038,Heather,Munoz,Charlene,1994-08-24,M,+1-456-415-8051x481,kayla15@example.org,2010-10-27,PE,Administrator,Room 296,34,State Certified,AP US History 397;English 356;Drama 137;Honors Chemistry 140;AP Biology 453,Focus on student engagement
5039,Suzanne,Cox,Joshua,1975-06-06,F,001-330-698-1384x810,fullermonica@example.com,2021-01-24,Science,Counselor,Room 387,38,Temporary License,Robotics 141;Science 393;Robotics 198;Honors Chemistry 281,Focus on student engagement
5040,Stephen,Allen,Matthew,1989-02-09,F,(886)383-8885x62011,newmankaren@example.org,2011-02-02,Math,Department Head,Room 290,38,National Board Certified,Band 339;AP US History 270;Robotics 317;PE 310;Band 210;PE 103,Mentor for new teachers
5041,Stacey,Martinez,Tammy,1992-03-10,F,001-834-277-8721x27237,phamnicholas@example.org,2011-07-05,Art,Counselor,Room 449,19,Substitute Certified,Spanish 106;Art 499;AP US History 207;Drama 296;Coding 241;Band 141,Highly recommended for AP courses
5042,Richard,Thornton,Leonard,1985-07-30,F,991-361-5596x54047,mbright@example.com,2016-10-08,Robotics,Counselor,Room 125,29,Substitute Certified,History 343;Drama 119;AP US History 106,Focus on student engagement
5043,Alexander,Campos,Tracy,1995-04-27,M,665.437.9662,wsimmons@example.com,2007-06-17,History,Administrator,Room 399,1,National Board Certified,PE 293;AP US History 218;Robotics 265;AP Biology 155;Robotics 235;Drama 493,Excellent performance
5044,Jennifer,Wolf,Robert,1989-02-07,F,(524)276-8477,rchristian@example.net,2006-10-27,Math,Substitute,Room 174,18,Temporary License,AP US History 195;Math 214;Art 264;Honors Chemistry 470,Needs improvement in classroom management
5045,Tim,Noble,Troy,1978-07-30,M,+1-550-452-3474x43655,burkedebbie@example.net,2016-07-03,Robotics,Administrator,Room 265,12,National Board Certified,AP US History 405;PE 185;Science 135;Art 455,Highly recommended for AP courses
5046,Jesse,Evans,Jeffrey,1998-10-26,M,+1-957-220-1220x2867,heather18@example.org,2016-12-22,AP Biology,Coach,Room 187,14,State Certified,Math 319;Spanish 496;Drama 212;Drama 485;Honors Chemistry 334;Drama 319,Needs improvement in classroom management
5047,Brian,Mason,Joseph,1985-11-23,F,798.915.9410,barbara78@example.com,2006-05-10,Robotics,Substitute,Room 231,32,Substitute Certified,Science 367;Drama 461;AP Biology 201;Band 306;Math 176;Spanish 195,Highly recommended for AP courses
5048,Janice,Johnson,Rachel,1974-11-14,F,381-448-6434x026,qwilcox@example.org,2020-05-16,Band,Administrator,Room 415,40,National Board Certified,AP Biology 402;Music 411;History 448;Art 155;Honors Chemistry 353,Excellent performance
5049,Cynthia,Davis,Samantha,1987-09-15,M,+1-546-875-4165x04476,margaret73@example.org,2017-10-27,Honors Chemistry,Counselor,Room 187,35,National Board Certified,Spanish 144;Honors Chemistry 176;Drama 117,Excellent performance
5050,Patricia,Mccormick,David,1965-01-26,M,738-628-1568,rmiranda@example.com,2011-09-15,Math,Teacher,Room 126,9,Substitute Certified,AP Calculus 375;Robotics 158;Coding 174;Band 202,Excellent performance
5051,Jon,Mcguire,Gregory,1997-06-25,F,798-355-8641x15206,moodysteven@example.net,2010-12-06,AP Calculus,Teacher,Room 415,34,State Certified,Coding 136;English 111;History 201;Math 132;PE 429;Robotics 138,Focus on student engagement
5052,Benjamin,Gonzalez,Carl,1989-07-06,M,001-934-482-2244x33100,perkinsoscar@example.net,2007-10-03,Math,Coach,Room 216,33,Substitute Certified,Science 199;Science 295;AP Calculus 220;Science 303,Focus on student engagement
5053,Donna,Harvey,Louis,1969-08-01,M,+1-744-467-2865x9500,tracie73@example.org,2022-06-19,Robotics,Substitute,Room 166,10,National Board Certified,AP Calculus 380;History 208;Art 355;Science 266,Needs improvement in classroom management
5054,Clinton,Hobbs,Daniel,1968-04-15,F,892.291.7473,charles73@example.org,2023-10-03,Drama,Department Head,Room 355,15,State Certified,PE 309;AP Calculus 207;Coding 262,Mentor for new teachers
5055,Janet,Gregory,Jasmine,1976-02-29,F,(976)300-6721x09553,sonyakelley@example.com,2009-09-18,Spanish,Counselor,Room 149,37,Substitute Certified,AP Calculus 448;AP Calculus 326;Science 227;Honors Chemistry 226,Needs improvement in classroom management
5056,William,Jackson,Brenda,1964-09-15,F,001-563-338-5875x7672,karenwagner@example.com,2022-12-12,Coding,Teacher,Room 239,4,Substitute Certified,AP Calculus 333;Band 202;Art 189;AP US History 223;Spanish 205,Needs improvement in classroom management
5057,Joseph,Ross,Adam,1960-06-29,F,446-880-2597,gonzalezlisa@example.com,2006-03-07,Coding,Substitute,Room 200,15,National Board Certified,Music 386;Music 164;Spanish 482;AP US History 327,Mentor for new teachers
5058,Alexandria,Middleton,Catherine,1968-03-25,M,001-698-351-4381x372,cohendanielle@example.org,2012-11-17,English,Substitute,Room 356,14,Temporary License,Art 282;Drama 185;PE 108;Spanish 293;AP Calculus 127;Coding 325,Excellent performance
5059,William,Jackson,Mariah,1986-05-06,M,404.458.5832x379,ylivingston@example.net,2016-06-11,AP Biology,Counselor,Room 353,9,Substitute Certified,Drama 471;Science 467;English 386,Outstanding leadership in department
5060,Ray,Mclean,James,1964-02-02,M,826-350-1047,jonesmason@example.com,2023-04-14,History,Coach,Room 176,27,Substitute Certified,Art 401;AP Calculus 283;Drama 407;AP Calculus 278;Drama 143,Highly recommended for AP courses
5061,Hannah,Rodriguez,Gabriel,1987-01-12,M,001-745-336-3846x32762,candice77@example.org,2009-09-21,English,Administrator,Room 474,27,State Certified,English 325;Robotics 355;PE 210,Excellent performance
5062,Antonio,Kennedy,Hannah,1978-10-20,F,+1-403-546-3108,lucasvaughn@example.org,2006-08-12,Art,Coach,Room 188,2,State Certified,PE 422;AP Biology 484;Math 378;Honors Chemistry 460,Needs improvement in classroom management
5063,Cody,Morgan,Debbie,1987-04-25,M,739.563.5439x64612,millererica@example.net,2021-04-09,Honors Chemistry,Counselor,Room 174,6,Temporary License,AP Calculus 305;AP US History 314;Spanish 289;PE 211,Needs improvement in classroom management
5064,Kathy,Reynolds,Douglas,1966-03-09,M,8408032311,jeffmccarthy@example.org,2023-12-23,Honors Chemistry,Department Head,Room 447,3,National Board Certified,PE 404;Band 455;PE 475,Mentor for new teachers
5065,Janet,Chang,Ryan,1978-03-08,F,+1-207-740-5984,gregorythomas@example.net,2020-12-06,Music,Administrator,Room 169,13,State Certified,AP Biology 359;Coding 472;Band 232;AP US History 470;Band 363,Focus on student engagement
5066,Andrew,Meyer,Ryan,1993-09-10,M,256.222.6448x412,nbrock@example.net,2014-03-15,PE,Department Head,Room 335,6,National Board Certified,Coding 111;History 138;AP US History 112;Coding 487;Spanish 322;Band 283,Outstanding leadership in department
5067,William,Cox,Donald,1962-02-28,F,+1-423-545-7554x461,michaelperkins@example.net,2018-07-30,Honors Chemistry,Teacher,Room 270,7,Substitute Certified,AP Calculus 407;PE 382;AP Biology 456;AP Biology 268;History 226,Excellent performance
5068,Richard,Bowen,Jennifer,1964-09-13,F,445-246-7775x449,jennifer38@example.net,2021-07-24,PE,Department Head,Room 193,22,Substitute Certified,Band 371;AP Calculus 127;Science 333;Music 388;PE 305;History 150,Mentor for new teachers
5069,Sandra,Wall,Tracy,1968-03-01,F,785.989.4696x538,jennifermorgan@example.net,2007-09-04,PE,Teacher,Room 471,18,State Certified,Coding 439;English 188;History 366;Band 327;Robotics 212;Drama 314,Outstanding leadership in department
5070,Mark,Harmon,Shelly,1985-01-08,F,+1-796-412-5351x38698,martinbrittany@example.net,2015-03-18,Science,Counselor,Room 472,37,National Board Certified,Spanish 253;Band 430;Math 215;AP Biology 215,Mentor for new teachers
5071,Erin,Huber,Dawn,1993-03-03,F,5207029340,jenniferjohnson@example.org,2020-03-04,Coding,Coach,Room 449,31,State Certified,Honors Chemistry 195;Science 264;History 115;Band 190;English 338,Focus on student engagement
5072,John,Miller,Jason,1968-05-23,F,9966296020,johngonzalez@example.org,2011-07-11,Science,Administrator,Room 235,1,Substitute Certified,Robotics 258;English 177;AP Biology 118;Coding 188;Robotics 479,Mentor for new teachers
5073,Patricia,Jackson,Christy,1963-11-15,F,941.492.9165x8187,lucaslindsey@example.org,2010-05-15,History,Department Head,Room 193,1,National Board Certified,Art 293;PE 378;AP US History 218;Honors Chemistry 360;History 413;Science 193,Outstanding leadership in department
5074,Debra,Hoffman,Emma,1975-11-03,F,001-693-959-4949x99397,staceyrivera@example.com,2012-12-22,English,Administrator,Room 101,34,National Board Certified,Band 499;Spanish 173;Music 338;Band 487,Mentor for new teachers
5075,Christina,Avila,Chad,1964-12-15,F,001-563-657-8497x90285,hodgespeter@example.net,2012-02-13,AP Calculus,Department Head,Room 234,10,Substitute Certified,Music 380;AP US History 496;Honors Chemistry 217;Band 316;AP Biology 313;AP US History 331,Focus on student engagement
5076,Michael,Stewart,Julia,1985-09-03,F,(406)497-9829,joseph96@example.org,2007-01-01,Robotics,Counselor,Room 474,8,State Certified,Robotics 181;Drama 489;Science 243,Excellent performance
5077,Andrew,Mcfarland,Debra,1966-08-17,M,(925)828-5207,sbrown@example.net,2010-02-04,Art,Department Head,Room 284,18,National Board Certified,AP Biology 446;Music 180;AP Biology 136,Outstanding leadership in department
5078,Marissa,Rodriguez,Tracy,1969-04-19,F,539.685.7994x198,william41@example.net,2007-01-29,Spanish,Department Head,Room 362,33,Temporary License,Science 142;Band 191;Robotics 305;History 441,Outstanding leadership in department
5079,Michael,Hale,Kimberly,1992-02-14,F,+1-528-220-6090,jennifer94@example.org,2013-03-15,PE,Administrator,Room 388,28,Substitute Certified,AP Calculus 145;Music 495;History 229;Music 143,Mentor for new teachers
5080,Jody,Bautista,Frank,1976-11-12,F,(700)247-4557x3306,hallgabriel@example.com,2011-05-27,Robotics,Counselor,Room 413,28,State Certified,Coding 207;Music 312;Honors Chemistry 302;Science 286;Art 195,Excellent performance
5081,Hunter,Fox,Christopher,1965-03-08,M,(367)464-0182x1597,glassvirginia@example.net,2014-12-19,Band,Coach,Room 443,10,State Certified,Robotics 384;History 300;Robotics 384;Honors Chemistry 415;History 260,Needs improvement in classroom management
5082,Eric,Garcia,Paul,1971-07-19,F,364.867.9535,mark46@example.com,2023-09-19,English,Administrator,Room 229,6,Temporary License,Band 266;Honors Chemistry 296;Art 150;English 170,Excellent performance
5083,Candice,Sandoval,Cameron,1960-08-08,M,+1-654-226-8577x996,fcisneros@example.net,2007-08-14,Band,Department Head,Room 252,35,Substitute Certified,Math 326;Robotics 301;AP Calculus 244;Math 107;Band 206;AP US History 383,Outstanding leadership in department
5084,Paul,Dudley,Robert,1997-08-26,M,001-413-766-2563x4956,mosleyanna@example.com,2006-04-25,Math,Teacher,Room 463,18,National Board Certified,Band 346;Band 112;Art 240;PE 196,Highly recommended for AP courses
5085,Jason,Riley,Caleb,1998-01-03,M,001-578-837-3328x9771,fwatkins@example.com,2012-07-29,History,Substitute,Room 285,22,State Certified,Drama 174;Art 392;Music 248;Music 402;Band 240;Drama 272,Excellent performance
